num, g
11067627, 22 53 68 104 109 154
11069236, 12 41 67
11069237, 16 41 71 83
11069238, 0 53 55 100 110
11069242, 19 41 69 101 121 145
11069243, 9 53 68 104 109 154
11069244, 24 41 69 101 121 145
11069245, 15 41 69 101 121 145
11069246, 0 53 68 104 109 154
11069247, 16 53 68 104 109 154
11069248, 5 41 69 101 121 145
11069249, 2 41 69 101 121 145
11069250, 8 41 69 101 121 145
11069251, 11 41 69 101 121 145
11069252, 8 49 68 98 111 153
11069255, 26 69 101 121 145
11069256, 16 69 101 121 145
11069257, 41 69 101 121 145
11072561, 0 53 68 98 111 143
11073027, 0 82
11073215, 45 54 93
11073216, 45 62 104
11073217, 41 67 85
11073218, 46 58 94
11073219, 45 58 104
11073220, 46 76 95
11073243, 42 58 96 112
11073244, 39 58 93 112
11073245, 32 62 102 112
11073246, 40 62 91 112
11073247, 52 58 98 122
11073250, 45 58 102 112 148
11073251, 40 62 94 112
11073252, 1 42 68 98 121 149
11073253, 46 58 99 119 135
11073254, 31 62 87 115 154
11073255, 46 61 98 112 139
11073349, 1 28 73 83
11073350, 27 69 96 119 139
11073487, 27 71 100
11073781, 28 73 83 53
11073782, 25 41 71 83
11073910, 0 53 68 98 111 143
11073911, 0 42 74 94 118 153
11073915, 0 67 81 119 153
11074005, 28 53 0 28 53
11074023, 0 28 53 55 100 110
11074034, 1 50
11074270, 8 30 68 93 122
11075471, 19 51 68
11075854, 0 29 37 68 95 149 122
11077096, 19 29 61 89 121 135
11077097, 0 31 65 95 121
11077357, 1 53 55 100 110
11077358, 0 28 73 83
11077415, 47 72 81
11077460, 0 31 73 88
11077482, 0 45 54 100 122
11077495, 0 53 58 100 115
11077910, 32 68 101 125
11078189, 21 53 68 98 111 143
11078299, 0
11078740, 21 32 68 93 122
11078742, 21 67 81 119 153
11078743, 21 34 68 92 111
11078747, 21 53 69 85 123 139
11078749, 21 42 74 94 118 153
11079434, 0 36 58 99 112 153
11080062, 0 36 58 99 112 153
11080063, 0 38 68 98 111
11081450, 0 34 46 35 61 62 57 59 88 94 84 86 115 113 111 142 140 138 64 104 130 126 152 140 138 137 136 135
11081933, 0 53 69 101 121 145
11082314, 0 68 59 95 86 122 113
