num, g
11837645, 0 5 15
11837646, 0 10
11837648, 0 3
11837649, 0 23 25
11837650, 0 15 7
11837651, 0 9
11837652, 0 25 15
11837653, 0 17 3
11837654, 0 6 12
11837655, 0 1 12
11837832, 0 8 13 22
11837833, 0 1 14 20 21 23
11837879, 0 2 10 16 20 24
11837880, 0 1 10 14 20 22
11837881, 0 2 3 12 21 23 25
11837882, 0 2 3 12 20 24 25
11837883, 0 1 2 3 12 20 22
11837898, 0 6 20 11 14 23
11837901, 0 20 21 14
11837902, 0 6 20 11 14 23 21
11837904, 0 3 21 20 22
11837907, 0 3 21 20
11837939, 0 7 17 15
11837953, 0 14 15 18 8 6 12 20 21
11838412, 6 14 20 21 22
11838427, 3 12 20 23
11838480, 0 1 4 15 21 22
11838481, 0 1 8 14 21 23
11838484, 0 14 18 15 20 1
11838485, 25 14 15 21 20 24
11838487, 0 2 6 19 21 22
11838488, 0 2 9 13 20 23
11838489, 0 1 10 14 21 24
11838490, 0 1 4 19 21 22
11838491, 0 2 10 16 21 22
11838492, 0 1 7 17 21 22
11838493, 0 2 11 15 20 24
11838494, 0 1 10 14 20 23
11838495, 0 2 3 17 20 24
11838496, 0 2 3 18 21 23
11838497, 0 2 11 14 20 22
11838498, 0 1 10 16 21 23
11838499, 0 2 4 15 21 22
11838500, 0 14 21 24
11838501, 0 1 3 12 21 24
11838502, 0 2 5 13 21 23
11838503, 0 2 8 15 20 24
11838504, 0 1 8 15 21 23
11838505, 0 2 3 18 20 22
11838506, 0 10 18
11838507, 0 2 10 18 20 22
11838508, 0 2 3 13 20 22
11838510, 0 6 16 23
11838511, 0 22 25
11838512, 0 13 25
11838521, 0 10 22
11838558, 0 21 22 25 13
11839384, 25 17 12 24 21 20
11839385, 0 12 18 6 22 20 11
11839397, 0 14 17 18 15 25 20 23
11840501, 0 4 20 21
11840547, 0 25 23 12
11840552, 0 25 24 19
11841972, 0 22 25 16
11841973, 0 25 22 18 19
11841974, 0 10 22 21 20 19
11841977, 0 22 25 22 21 17
11841989, 0 25 22 12 19
11841994, 0 23 10 16
11841995, 0 10 22 19
11842023, 0 1 14 22
11842084, 25 12 22
11842085, 0 4 12 23 21 20 7
11842088, 0 1 22 12
11842093, 0 15 23 4
11844611, 0 2 10 13 20 21 22
11844687, 0 5 24 14 21 20
11844784, 25 15 21 20 19 23
11844854, 0 9 17 25 21 20
11844868, 5 16 21 24 23
11844869, 0 5 17 23
11844870, 7 17 20 21 24
11844872, 0 9 12 22 20
11844873, 9 14 20 21 22 24
