num, g
11805444, 0 6
11805450, 0 8 13
11805459, 0 19 5
11805477, 0 25 20 23 16
11805724, 0 23 5 15
11805725, 0 16 23 8
11805901, 0 1 20 14
11805902, 0 10 20 22 14
11805903, 0 25 14 23 20
11806349, 0 13 25
11806881, 0 8 20
11807445, 0 10
11807446, 0 6
11807447, 0 9 23
11807466, 0 25
11807483, 0 18
11807506, 0 10 12
11807507, 0 10 15
11807508, 0 10 17
11807509, 0 10 14
11807510, 0 10 13
11807511, 0 10 16
11817490, 0 10
11817535, 0 10 16 20 22
11817536, 0 8 22
11817549, 0 7 22
11817564, 0 9 14 21 20
11817565, 0 9 15 21 20
11817566, 0 9 16 21 20
11817567, 0 14 3 21 20
11817579, 0 7 17
11817580, 0 17 21
11817581, 0 12 23
11817664, 0 19
11817665, 0 14
11817666, 0 16
11817667, 0 13
11817668, 0 15
11817669, 0 11
11817670, 0 12
11817671, 0 17
11817672, 0 18
11817677, 0 18 8 22 21 20
11817678, 0 16 23
11817679, 0 12 25
11817689, 0 1 12 22
11817699, 0 13
11817700, 0 3 16
11817715, 0 21 20 23 19 11
11817901, 0 10 17 4 22 21 20
11819086, 2 14 21 20 17 12 23
11819340, 2 1 18 21 20 22
11820636, 0 1 12 22 20 21
11820637, 16 6 24 20
11820877, 0 1 14 22 20 21
11820890, 4 14 24 1 20
11820892, 0 13 10 21 20
11823117, 0 1 16 21 20 2 23
11823162, 0 11 14 25 23 21 20
11824066, 0 10 24 20 23 24
