num, g
10509580, 0
10509821, 0 8 35 55
10509822, 0 32 43 52
10509823, 0 16 48 57
10509824, 0 19 51 60
10509825, 0 21 36 62
10509826, 0 5 36 56
10509827, 0 2 38 53
10509828, 0 10 48 56
10509829, 0 2 39 58
10509830, 0 26 44 55
10509831, 0 1 34 53
10509832, 0 33 51 62
10509833, 0 18 46 54
10509834, 0 22 39 52
10509835, 0 20 51 54
10509836, 0 4 43 58
10509837, 0 17 38 53
10509838, 0 28 35 54
10509839, 0 12 35 52
10509840, 0 15 39 52
10509841, 0 21 48 59
10509842, 0 28 45 52
10509843, 0 53 11 35 16
10509844, 0 58 6 35 21
10509845, 0 59 7 36 22
10509846, 0 54 12 36 17
10509847, 0 60 8 37 23
10509848, 0 56 1 38 19
10509849, 0 55 4 37 18
10509850, 0 57 5 39 20
10509853, 0 1 54
10509854, 0 2 54
10509855, 0 8 54
10509856, 0 4 54
10509857, 0 6 54
10509858, 0 7 54
10509859, 0 3 54
10509860, 0 5 54
10509861, 0 9 37
10509862, 0 26 37
10509863, 0 15 38
10509864, 0 15 37
10509865, 0 26 39
10509866, 0 14 37
10509867, 0 26 38
10509868, 0 14 39
10509869, 0 25 38
10509870, 0 25 37
10509871, 0 15 39
10509872, 0 25 38
10509873, 0 16 38
10509874, 0 16 37
10509875, 0 14 38
10509876, 0 16 39
10509877, 0 9 38
10509878, 0 9 39
10509889, 0 17 45 52
10509890, 0 15 46 62
10509891, 0 19 45 54
10509892, 0 21 51 56
10509893, 0 26 41 62
10509894, 0 22 48 60
10509895, 0 2 43 61
10509896, 0 5 46 57
10509897, 0 26 36 53
10509898, 0 11 34 53
10509899, 0 4 50 57
10509900, 0 7 44 56
10509901, 0 17 43 59
10509902, 0 16 51 61
10509903, 0 8 44 61
10509904, 0 7 41 57
10509905, 0 11 44 58
10509906, 0 30 45 55
10509907, 0 4 51 53
10509908, 0 7 40 61
10509909, 0 31 45 55
10509910, 0 13 51 56
10509911, 0 6 42 53
10509917, 0 49 29
10509918, 0 63 59
10509919, 0 3 36 61
10509920, 0 5 50 56
10509921, 0 6 37 53
10509922, 0 9 36 59
10509923, 0 10 49 52
10509924, 0 25 42 61
10509925, 0 24 36 61
10509926, 0 27 40 53
10509927, 0 21 49 57
10509928, 0 1 38 57
10509929, 0 30 40 54
10509930, 0 16 37 60
10509931, 0 29 37 62
10509932, 0 20 47 52
10509933, 0 1 46 54
10509934, 0 11 36 60
10509935, 0 10 37 62
10509936, 0 35 26
10509937, 0 22 49 52
10509938, 0 15 41 60
10509939, 0 21 47 53
10509940, 0 64
10509941, 0 50 27
10509942, 0 8 41 59
10509943, 0 11 34 62
10509944, 0 17 41 60
10509945, 0 58 36 14
10509946, 0 62 35 16
10509947, 0 57 35 17
10509948, 0 59 37 15
10509949, 0 60 39 19
10509950, 0 61 38 18
10509958, 0 9 49
10509959, 0 14 35
10509960, 0 16 49
10509961, 0 14 49
10509962, 0 16 51
10509963, 0 14 50
10509964, 0 14 35
10509965, 0 15 51
10509966, 0 15 49
10509967, 0 26 49
10509968, 0 26 50
10509969, 0 25 49
10509970, 0 26 51
10509971, 0 25 51
10509972, 0 25 50
10509973, 0 14 35
10509974, 0 15 50
10509975, 0 14 51
10509976, 0 16 50
10509977, 0 9 50
10509978, 0 9 51
10509979, 0 16 66 62 55
10509980, 0 15 35 53 52
10509981, 0 9 35
10509982, 0 9 35
10509983, 0 16 66 53 55
10509984, 0 9 35
10509985, 0 34 23 52
10509986, 0 48 13 57 55
10509987, 0 2 40 62
10509988, 0 4 41 62
10509989, 0 3 41 62
10509990, 0 57 35 15
10510007, 0 16 46 53
10510008, 0 16 57
10510009, 0 53 65
10510014, 0 8 56
10510019, 0 1 34 54
10510020, 0 22 48
10510021, 0 11 52
10510022, 0 16 38
10510023, 0 14 37 54
10510024, 0 15 39 59
10510026, 0 66
10510027, 0 45 14
10510028, 0 50 54 14
10510030, 0 42 52 52 14
10510032, 0 1 42 62
10510033, 0 63 59
10510034, 0 58 35 15
10510036, 0 41 13 52
10510037, 0 37 17 53
10510084, 0 5 42 57
10510165, 0 40 6
10510166, 0 65 61
10510167, 59 40 9
10510168, 0 5 48
10510169, 0 61 65
10510191, 0 14 37 57
10510193, 62 63
10510194, 0 12 62 39
10510208, 0 6 35 61
10510269, 65 62 24
10510283, 0 16 60
10510284, 0 14 56
10510285, 0 8 62
10510286, 0 29 51
10510287, 0 29 51
10510288, 0 26 53 55
10510289, 0 54 3 38
10510290, 0 11 48 52
10510291, 0 53 55 66 34
10510292, 0 53 55 66 34
10510330, 63 62
10510331, 63 54 14 18
10510340, 58 64 14
10510341, 41 61 5 24
10510578, 64 57 14
10510580, 0 1
10510581, 0 2
10510582, 0 8
10510583, 0 9
10510584, 0 5
10510585, 0 3
10510586, 0 4
10510587, 0 7
10510588, 0 6
10510589, 0 11 54
10510590, 0 12 54
10510591, 0 24
10510592, 0 10 54
10510593, 0 18 54
10510594, 0 22
10510595, 0 14
10510596, 0 14 54
10510597, 0 23
10510599, 0 13
10510600, 0 12
10510601, 0 16 54
10510602, 0 21 54
10510603, 0 20
10510605, 0 11
10510606, 0 18
10510607, 0 21
10510608, 0 19 54
10510609, 0 22 54
