id, name,  category

###########
## 7 base martians (aliens)
0,  Orange, Base
1,  Gold,  Base
2,  Cyber Green, Base
3,  Deep Blue, Base
4,  Midnight, Base
5,  Magenta, Base
6,  Mars Red, Base

7, Mohawk,      Hair
8, Smile,  Emotion
9, Spots,   Face

##############
## headwear  - hats, caps, etc.
10, Bandana,   Headwear
11, Headband,   Headwear
12, Top Hat,   Headwear
13, Cowboy Hat,   Headwear
14, Cap,   Headwear
15, Cap Forward,   Headwear
16, Knitted Cap,   Headwear
17, Beanie,   Headwear
18, Do-rag,   Headwear

#######################
## Eyewear - glasses, etc.
19, Nerd Glasses,  Eyewear
20, VR,  Eyewear
21, 3D Glasses,  Eyewear
22, Eye Mask,  Eyewear
23, Regular Shades,  Eyewear
24, Small Shades,  Eyewear
25, Horned Rim Glasses,  Eyewear
26, Eye Patch,  Eyewear

27, Red Nounie Glasses,  Eyewear
28, Red Noun Glasses,  Eyewear
29, Blue Noun Glasses,  Eyewear
30, Red/Green/Blue Noun Glasses,  Eyewear

31, Laser Eyes,          Eyewear
32, Laser Eyes Gold,           Eyewear
33, Laser Eyes Blue,           Eyewear

###################
### jewelery
34, Earring,   Jewelery
35, Goldchain, Jewelery

#############
### props
36, Pipe,  Props
37, Cigarette,  Props
38, Medical Mask,  Props

#####################
## clothes / clothing
39, Hoodie,   Clothes


##############################
### 10 backgrounds  (optional)
40, Bitcoin Orange,   Background
41, Bitcoin Pattern,   Background
42,  Red,   Background
43,  Green,   Background
44,  Dollar Pattern,   Background
45,  Blue,   Background
46,  Aqua,   Background
47,  Classic,   Background
48,  Rainbow,   Background
49,  Ukraine,   Background
