num, g
12800415, 41 0 39 37 23 8
12800432, 44 1 10 23
12800434, 46 3 21 15
12800438, 47 2 39 26 37
12800578, 47 4 39 20 33 35 36
12800585, 41 0 32 35 13 36
12800586, 44 6 16 28 37 34 35
12800587, 41 0 10 33 34 35 36 8 7
12800602, 48 2 33 8 34 35 37 14
12800617, 49 3 21 14 35 34 35 37 18 14
12800640, 41 0 30 34 36
12800641, 40 1 31 38 16
12800643, 44 0 13 31 35 34 36
12800783, 44 1 7 30 36
12801654, 2 8 11 20 27 38 42
12801655, 6 9 12 26 28 36 48
12801666, 4 9 12 24 29 38 42
12801670, 5 7 14 25 29 36 48
12801671, 1 7 11 20 30 38 46
12801676, 5 8 18 20 27 38 45
12801679, 2 7 15 22 28 37 49
12801684, 4 9 17 22 28 37 41
12801694, 1 8 13 20 28 37 40
12801695, 0 8 18 25 27 38 46
12801698, 6 7 16 26 28 38 45
12801700, 6 7 10 26 29 36 45
12801702, 2 8 15 21 30 37 42
12801704, 6 9 14 22 30 37 45
12801705, 4 7 14 25 30 37 49
12801706, 1 9 10 26 30 36 49
12801711, 2 9 17 21 28 38 49
12801712, 2 9 10 20 27 36 48
12801719, 5 9 14 20 30 38 40
12801720, 1 9 17 26 30 36 43
12801722, 2 9 10 23 29 37 43
12801723, 1 8 17 25 29 36 42
12801726, 3 9 11 21 27 38 48
12801908, 4 8 14 22 27 37 43
12801911, 3 9 12 23 27 38 43
12801916, 5 8 16 20 30 36 46
12801918, 4 7 17 20 27 37 47
12801920, 6 7 14 24 29 36 40
12801925, 5 8 14 25 29 36 45
12801926, 0 9 13 24 28 38 45
12801937, 2 9 11 20 29 37 44
12801940, 5 8 12 24 27 38 42
12801948, 2 8 11 20 27 36 44
12801951, 0 9 10 25 30 38 49
12801953, 5 9 10 24 29 36 43
12801956, 6 9 12 22 28 36 43
12801957, 2 8 17 24 29 38 47
12801961, 6 7 12 21 30 38 46
12801963, 6 8 11 25 29 37 46
12801966, 0 8 12 25 30 37 41
12801999, 48 1 20 19 39 13 12 33 8 34 35
12802000, 49 1 39 13 12 28 36 8
12802001, 47 0 17 13 28 8 34 37
12802002, 48 0 39 13 12 28 8 34
12802003, 45 1 30 7 8 36
12802244, 2 9 14 26 28 39 45
12802245, 2 8 15 23 30 39 46
12802247, 2 7 17 25 29 39 43
12802250, 5 7 10 21 29 39 43
12802255, 2 7 10 26 30 39 46
12802256, 2 8 14 20 29 39 45
12802258, 5 8 17 26 27 39 47
12802259, 0 8 14 21 28 39 49
12802263, 2 7 12 24 27 39 44
12802264, 4 7 10 24 29 39 45
12802266, 43 2 33 29
12802267, 42 6 31
12802268, 0 31 39
12802269, 0 32 39
12802270, 0 33 39
12802271, 48 2 31 39
12802272, 48 2 7 33
12802273, 48 4 31 39
12802274, 41 0 32 39
12802275, 44 2 33 39
12802276, 44 2 15 36 33
12802277, 49 1 30 7
12802278, 0 13 33 36
12802279, 49 2 17 28
12802280, 48 2 17 29
12802288, 45 1 10 26 38
