num, g
15002685, 87 6 25 41 74 59
15111152, 87 6 25 41 74
15111574, 87 6 25 41
15111592, 84 13 68 33 73
15111837, 87 12 21 38 46 73
15111875, 84 14 66 35 73
15111876, 84 11 35 69 72
15111919, 84 1 44 73 40
15111930, 87 3 40 43 73
15115545, 87 83 77
15115548, 10 21 45 64 74
15115553, 12 21 33 44 72
15115558, 85 11 78 28 73 33
15115566, 89 78 39 75
15115579, 17 77 21
15115581, 85 76 36 73
15115582, 87 79 51 36
15115587, 88 81
15115593, 87 76 36 72
15115597, 10 21 51 31
15115599, 86 71 21
15115600, 87 3 69 73
15115601, 81 71 40
15115658, 84 82 40 72
15115661, 84 1 68 32 74
15115683, 84 83 59 40 29
15115684, 84 1 68 73
15115685, 87 3 69 73 68
15115703, 85 9 68 73 30
15115704, 84 14 33 76
15115808, 87 0 25 68 74 40
15115809, 6 25 40 59
15115823, 84 18 35
15115824, 87 77 21 36
15115833, 84 20 83 40
15115932, 84 17 81 73
15115938, 1 25 59 42
15115942, 1 25 59 42 74
15115966, 87 48 0 47 48 40 73 21 29
15115970, 6 25 40
15115975, 87 3 74 59 42
15115976, 6 25 40 59 74
15116000, 84 18 1 72 33
15119391, 17 36 64 72
15119408, 84 19 42 73 59
15119412, 84 18 78 74 21 30
15119413, 87 11 78 73 32
15120089, 87
15120104, 88 19 12 21 31
15120114, 89
15120115, 84 19 42 73
15120140, 88 19 83 40
15120178, 84 17 8 35
15120193, 85 9 68 73 30
15120194, 88 3 69 35 72
15122414, 87 0 68 39 73
15122415, 79 68 30
15122416, 87 0 68 21
15122417, 87 79 68 33
15122418, 88 0 68 35 74
15122427, 88 18 59 73 38
15122440, 89 3 78 74 35
15122456, 87 3 71 26 39
15122461, 88 80 78 74 30
15122476, 11 78
15122545, 87 18 33
15122546, 89 15 38
15122547, 14 59 74
15122548, 87 79 73
15122598, 87 12 73 39
15122645, 0 66 73
15122664, 19 20 79 71 75 44 45 46 47 48 49 50 51 52 53 24 23 22 21 29 28 27
15122682, 84 79 72 71
15122702, 88 19 12 21
15122849, 89 13 69 34 61
15122850, 87 14 78 33 72 29
15122851, 89 79 52 33 23 74
15126105, 18 33 64 74
15126106, 85 18 21 78 74 33
15126108, 89 14 27 38 62
15126178, 83 40 29
15126179, 83 42 43
15126263, 87 0 73 40
15126271, 87 4 42 74
15126312, 86 1 77
15131901, 86 0 46 37 72
15131906, 86 5 78 25 74 31
15131909, 86 0 44 37 73
15131918, 86 0 21 51 37
15132009, 88 83 39
15132010, 87 0 21 43 74 59
15132123, 87 8 68 35 73
15132186, 88 6 55 35 74
15132223, 86 11 69 73
15132315, 0 43 73
15132316, 83 73 61
15132317, 79 77 30
15132355, 2 63 73
15132379, 86 18 21 78 31 73
15132426, 85 13 78 30 73
15132808, 86 7 78 31 74
15132816, 79 70 73 32
15132934, 87 1 66 73 30
15134787, 88 77 21 27 74
15134871, 87 3 78 35 73
15134912, 89 78 21 32 74
15134937, 84 77 21 74 30
15143225, 1 74 51 34
