num, g
10348011, 3 6 9 17 26
10349032, 1 6 17 23 9
10351350, 1 4 14 23 8
10351351, 1 4 14 23 13
10351352, 1 4 14 23 7
10351353, 1 4 14 23 11
10351354, 1 4 14 23 12
10351355, 1 4 14 23 10
10351356, 1 4 14 24 7
10351357, 1 4 14 24 7
10351358, 1 4 14 23 9
10351359, 1 4 14 24 7
10351360, 1 4 14 24 7
10359240, 0 6 20 25 12
10359241, 0 5 20 25 12
10359242, 0 6 21 23 11
10359243, 1 5 15 24 11
10359244, 1 5 15 23 12
10364114, 1 5 14 23 7
10364115, 0 5 20 23 7
10364116, 0 5 22 23 8
10364117, 0 5 16 23 9
10364118, 0 5 14 23 8
10364119, 0 5 20 23 8
10364120, 0 5 18 23 9
10364121, 0 5 15 23 8
10364122, 0 5 19 23 8
10364123, 0 5 17 23 7
10364124, 0 5 17 23 8
10364125, 0 5 16 23 8
10364127, 0 5 17 23 9
10364129, 0 5 19 23 9
10364131, 0 5 18 23 8
10364132, 0 5 21 23 7
10364133, 0 5 22 23 7
10364134, 1 5 15 23 7
10364135, 0 5 21 23 8
10364136, 0 5 19 23 7
10364137, 0 5 14 23 9
10364138, 0 5 18 23 7
10364139, 0 5 16 23 7
10364140, 0 5 15 23 9
10364147, 0 4 18 24 13
10364148, 0 4 22 24 13
10364149, 0 4 19 24 13
10364150, 0 4 20 24 13
10364151, 0 4 21 24 13
10364152, 0 4 14 24 8
10364153, 0 4 16 24 10
10364154, 0 4 18 24 10
10364155, 0 4 15 24 10
10364156, 0 4 19 24 10
10364157, 0 4 14 24 10
10364158, 0 4 17 24 10
10364159, 0 4 19 25 7
10364160, 0 4 14 24 9
10364161, 0 4 18 24 8
10364162, 0 4 15 25 7
10364163, 0 4 22 25 7
10364164, 0 4 21 24 8
10364165, 0 4 21 25 7
10364166, 0 4 14 25 7
10364169, 0 4 20 24 9
10364170, 0 4 17 24 8
10364171, 0 4 21 25 8
10364172, 0 4 16 25 8
10364173, 0 4 20 25 7
10364174, 0 4 21 24 9
10364175, 0 4 15 24 8
10364176, 0 4 16 24 8
10364177, 0 4 18 25 8
10364178, 0 4 17 25 7
10364179, 0 4 19 25 8
10364180, 0 4 14 25 9
10364181, 0 4 20 24 8
10364182, 0 4 19 24 8
10364183, 0 4 17 25 8
10364184, 0 4 16 24 9
10364185, 0 4 16 25 7
10364186, 0 4 22 24 8
10364187, 0 4 19 24 9
10364188, 0 4 22 25 8
10364189, 0 4 15 24 9
10364190, 0 4 18 25 7
10364191, 0 4 14 25 8
10364192, 0 4 18 24 9
10364193, 0 4 20 25 8
10364194, 0 4 17 24 9
10364195, 0 4 22 24 9
10364196, 0 4 15 25 8
10364624, 0 4 21 24 13
10364625, 0 6 19 24 7
10364629, 1 5 17 25 7
10364630, 1 6 17 25 9
10364631, 1 5 17 25 11
10364637, 1 5 22 25 11
10364670, 2 21 24 11
10364671, 3 6 16 25 7
10364672, 0 4 15 24 9
10364673, 2 4 17 23 8
10364674, 3 6 14 25 12
10364675, 1 20 25 10
10364677, 2 6 21 24 13
10364678, 3 6 22 25 13
10364679, 1 6 18 23 10
10364680, 2 21 24 13
10364686, 0 5 20 23 11
10364687, 0 5 16 23 12
10364688, 0 5 17 23 12
10364689, 0 5 15 23 13
10364690, 0 5 16 23 10
10364691, 0 5 20 23 13
10364692, 0 5 19 23 10
10364693, 0 5 16 23 11
10364694, 0 5 14 23 11
10364695, 0 5 21 23 11
10364696, 0 5 22 23 13
10364697, 0 5 21 23 12
10364698, 0 5 22 23 10
10364699, 0 5 19 23 11
10364700, 0 5 15 23 12
10364701, 0 5 18 23 12
10364702, 0 5 17 23 11
10364703, 0 5 14 23 12
10364704, 0 5 14 23 13
10364705, 0 5 22 23 12
10364706, 0 5 20 23 12
10364707, 0 5 17 23 10
10364708, 0 5 18 23 13
10364709, 0 5 19 23 13
10364710, 0 5 18 23 10
10364711, 0 5 15 23 10
10364712, 0 5 16 23 13
10364713, 0 5 21 23 10
10364714, 0 5 14 23 10
10364715, 0 5 18 23 11
10364716, 0 5 19 23 12
10364717, 0 5 17 23 13
10364718, 0 5 20 23 10
10364719, 0 5 21 23 13
10364720, 0 5 15 23 11
10364721, 0 5 22 23 11
10364723, 1 5 17 23 12
10364724, 1 5 18 23 13
10364725, 1 5 21 23 13
10364726, 1 5 15 23 13
10364727, 1 5 22 23 12
10364728, 1 5 21 23 13
10364729, 1 5 19 23 12
10364730, 1 5 21 23 12
10364731, 1 5 18 23 12
10364732, 1 5 21 23 11
10364733, 1 5 11 23 12
10364734, 1 5 21 23 12
10364735, 1 5 17 23 13
10364736, 1 5 21 23 13
10364737, 1 5 21 23 11
