num, g
10339794, 0 4 14 23 7
10339795, 0 4 19 23 9
10339796, 0 4 15 23 9
10339797, 0 4 18 23 8
10339798, 0 4 14 23 9
10339799, 0 4 20 23 8
10339800, 0 4 14 23 8
10339801, 0 4 15 23 8
10339802, 0 4 18 23 9
10339803, 0 4 17 23 9
10339804, 0 4 16 23 7
10339805, 0 4 19 23 8
10339806, 0 4 21 23 7
10339807, 0 4 22 23 8
10339808, 0 4 17 23 8
10339809, 0 4 18 23 7
10339810, 0 4 15 23 7
10339811, 0 4 17 23 7
10339812, 0 4 19 23 7
10339813, 0 4 20 23 7
10339814, 0 4 16 23 8
10339815, 0 4 21 23 8
10339816, 0 4 16 23 9
10339817, 0 4 22 23 7
10339890, 0 4 16 23 9
10340378, 0 4 18 24 13
10340379, 0 4 14 25 8
10340380, 0 4 22 25 7
10340381, 0 4 17 25 8
10340382, 0 4 17 25 7
10340383, 0 4 15 25 8
10340384, 0 4 21 25 8
10340385, 0 4 16 25 7
10340386, 0 4 22 25 8
10340387, 0 4 20 25 7
10340388, 0 4 14 25 9
10340389, 0 4 15 25 7
10340390, 0 4 18 25 7
10340391, 0 4 19 25 8
10340392, 0 4 14 25 7
10340393, 0 4 18 25 8
10340394, 0 4 21 25 7
10340395, 0 4 20 25 8
10340396, 0 4 16 25 8
10340397, 0 4 19 25 7
10340399, 0 4 21 24 13
10340400, 0 4 19 24 13
10340401, 0 4 20 24 13
10340402, 0 4 22 24 13
10340404, 0 4 14 24 8
10340405, 0 4 18 24 9
10340406, 0 4 14 24 9
10340407, 0 4 17 24 8
10340408, 0 4 19 24 8
10340409, 0 4 17 24 9
10340410, 0 4 22 24 9
10340411, 0 4 21 24 9
10340412, 0 4 16 24 8
10340413, 0 4 19 24 9
10340414, 0 4 16 24 9
10340415, 0 4 18 24 8
10340416, 0 4 21 24 8
10340417, 0 4 15 24 8
10340418, 0 4 20 24 9
10340419, 0 4 15 24 9
10340420, 0 4 20 24 8
10340421, 0 4 22 24 8
10340422, 0 4 15 24 10
10340423, 0 4 18 24 10
10340424, 0 4 16 24 10
10340425, 0 4 19 24 10
10340426, 0 4 14 24 10
10340427, 0 4 17 24 10
10340428, 0 4 21 23 9
10340429, 0 4 15 24 7
10340430, 0 4 16 24 7
10340431, 0 4 18 24 7
10340432, 0 4 20 23 9
10340433, 0 4 21 24 7
10340434, 0 4 14 24 7
10340435, 0 4 22 23 9
10340436, 0 4 22 24 7
10340437, 0 4 19 24 7
10340438, 0 4 17 24 7
10340439, 0 4 20 24 7
10340440, 0 4 19 23 13
10340441, 0 4 18 23 10
10340442, 0 4 20 23 10
10340443, 0 4 20 23 11
10340444, 0 4 14 23 10
10340445, 0 4 21 23 10
10340446, 0 4 22 23 10
10340447, 0 4 15 23 10
10340448, 0 4 21 23 11
10340449, 0 4 18 23 13
10340450, 0 4 19 23 11
10340451, 0 4 16 23 11
10340452, 0 4 19 23 10
10340453, 0 4 15 23 12
10340454, 0 4 22 23 12
10340455, 0 4 20 23 12
10340456, 0 4 21 23 13
10340457, 0 4 15 23 11
10340458, 0 4 21 23 12
10340459, 0 4 14 23 12
10340460, 0 4 18 23 11
10340461, 0 4 20 23 13
10340462, 0 4 16 23 12
10340463, 0 4 15 23 13
10340464, 0 4 17 23 10
10340465, 0 4 17 23 12
10340466, 0 4 22 23 11
10340467, 0 4 19 23 12
10340468, 0 4 16 23 10
10340469, 0 4 14 23 11
10340470, 0 4 16 23 13
10340471, 0 4 18 23 12
10340472, 0 4 14 23 13
10340473, 0 4 17 23 11
10340474, 0 4 22 23 13
10340475, 0 4 17 23 13
10340497, 3 16 23 8 9
10340726, 0 5 16 23 8
10341596, 0 4 17 25 9
10341597, 0 4 15 25 9
10341598, 0 4 19 25 9
10341599, 0 4 22 25 9
10341600, 0 4 20 25 9
10341601, 0 4 18 25 9
10341602, 0 4 16 25 9
10341603, 0 4 21 25 9
10341604, 0 4 18 25 11
10341605, 0 4 21 25 13
10341606, 0 4 21 25 10
10341607, 0 4 18 25 12
10341608, 0 4 14 25 11
10341609, 0 4 14 25 12
10341610, 0 4 15 25 12
10341611, 0 4 19 25 12
10341612, 0 4 22 25 10
10341613, 0 4 21 25 11
10341614, 0 4 19 25 13
10341615, 0 4 19 25 11
10341616, 0 4 15 25 13
10341617, 0 4 22 25 13
10341618, 0 4 18 25 10
10341619, 0 4 15 25 10
10341620, 0 4 16 25 11
10341621, 0 4 17 25 10
10341622, 0 4 22 25 12
10341623, 0 4 14 25 13
10341624, 0 4 20 25 10
10341625, 0 4 16 25 10
10341626, 0 4 18 25 13
10341627, 0 4 16 25 12
