num, g
10285588, 1 38 41 57
10285734, 58 4 19 50
10285735, 0 38 51
10285747, 59 3 19 51
10285748, 58 0 38 50
10285766, 59 6 19 38 50
10285896, 6 37 55
10287097, 2
10287172, 2 28 21 35 41 46 48 54 57
10287900, 0
10288053, 8
10288488, 6 15 35 55
10291915, 3 34 55
10291978, 3 34 56
10292240, 7 38 56
10292737, 59 0 38 39 53 57
10292738, 58 4 34 40 49 54
10292739, 58 3 35 48 50 55
10292740, 58 1 37 40 52 57
10292741, 59 2 36 48 51 56
10292804, 58 3 46 53
10292805, 59 4 38 49 57
10292816, 58 0 38 48
10292835, 59 6 35 51
10292837, 58 5 37 50
10292840, 7 38 56
10292870, 7 34 49
10293558, 59 9 20 35 55
10295624, 0 25 33 50
10295625, 6 17 33
10295628, 0 24 33 44
10295632, 6 18 32 40
10295633, 0 33 40 44 50
10295635, 0 21 32 50
10295636, 0 48 51
10295637, 1 25
10295639, 0 25 40 50
10295640, 0 32 37 51
10295645, 0 17 32 37 51
10295646, 0 17 32 40 51
10295654, 0 17 32 50
10295659, 0 17 32 40 50
10295660, 0 32 50 57
10297552, 1
10297553, 9 41 57
10297554, 7 38 55
10297555, 2 38 55
10297556, 5 38 55
10297557, 8 38 55
10297558, 1 38 55
10297559, 3 38 55
10297560, 8 41 57
10297561, 0 38 55
10297562, 7 41 57
10297563, 4 38 55
10297564, 6 38 55
10297570, 9 15 37 55
10297577, 4
10297585, 6
10297588, 3
10297593, 0
10297605, 7
10297606, 8
10297608, 5
10297610, 2
10297619, 9
10297855, 58 0 38 50 57
10297857, 59 1 38 51 57
10297858, 58 4 38 50 57
10297859, 59 6 38 50 55 57
10297860, 58 3 38 50 55 57
10297861, 59 2 38 51 57
10297862, 58 5 38 51 57
10297864, 58 7 38 50 55
10300008, 58 0 18 38 50
10300009, 58 4 18 38 50 55
10300018, 59 2 18 38 50 55
10300023, 58 3 18 38 51
10300024, 59 1 18 38 51 55
10303728, 58 0 50 55 57
10303729, 59 3 35 51 55 57
10303733, 58 4 34 51 55 57
10303734, 58 1 51 55 57
10303735, 58 5 34 51 55 57
10303738, 59 2 35 51 55 57
10303873, 2 27 33
10303874, 5 17 34
10303875, 7 18 35 40
10303876, 4 27 33 44
10303877, 1 34 40 44
10303960, 9 34 50
10303961, 2 17 33
10303962, 1 32 40
10303963, 5 24 33 44
10303969, 3 33 44 50
10304826, 59 6 34 51 55
10304827, 58 9 35 50 55 57
10304830, 59 5 34 51 55
10304863, 59 8 34 50 55 57
10304869, 58 7 35 51 55 57
10307037, 1 57 38 55
10307042, 58 2 19 50
10307132, 58 5 51 55 57
10307133, 58 4 51 55 57
10307134, 58 3 51 55 57
10307250, 58 2 51 55 57
10307345, 4 17 57
10308571, 58 2 38 39 45 48 53
10308572, 58 4 38 39 45 48 53
10308573, 58 5 38 39 45 48 53
10308574, 58 3 38 39 45 48 53
10308575, 58 6 38 39 45 48 53
10308576, 58 6 51 55 57
10308577, 58 7 51 55 57
10308578, 58 8 51 55 57
10308631, 58 5 38 49
10308675, 58 9 51 55 57
10308686, 59 0 38
10308687, 59 7 38
10308688, 59 5 38
10308689, 59 0 38
10308690, 59 2 38
10308691, 59 3 38
10308692, 59 1 38
10308693, 59 9 38
10308694, 59 4 38
10308695, 59 8 38
10308696, 59 6 38
10309989, 58 8 38
10310055, 59 4 13 3 49 54
10310092, 59 4 51 55 57 38
10310114, 59 3 51 55 57 38
10310116, 59 9 51 55 57 38
10310117, 59 2 51 55 57 38
10310118, 58 4 15 45
10310119, 59 1 51 55 57 38
10310123, 58 0 28 16 38 41 44 46 47 48 52 55 57
10310226, 58 3 14 38 49
10310227, 58 7 14 38 49
10310229, 58 0 14 38 49
10311307, 58 4 19 49
10311308, 58 4 19 51
10311310, 58 4 19 51
10311315, 59 7 26 17
10311318, 4
10311319, 5
10311320, 7
10311321, 6
10311323, 59 7 26 19 37
10311337, 58 4 15
10311344, 59 1 26 38 52
10311345, 59 1 26 38 53
10311390, 59 9 29 19 38 39
10311409, 58 0 38 39 42 45 48 53
10311410, 58 2 38 39 43 48 53
10311411, 58 1 38 39 42 48 53
10311412, 58 3 38 39 44 48 53
10311414, 58 9 38 39 45 48 53 55
10311415, 58 4 38 39 45 48 53 55 57
10311416, 58 2 38 39 45 48 53 55
10311417, 59 0 38 39 45 48 53 54
10311418, 58 4 38 39 45 48 53 57
10311419, 58 9 38 39 45 48 53 57
10311420, 58 7 38 39 45 48 53 57
10311421, 58 6 38 39 45 48 53 57
10311422, 58 8 38 39 45 48 53 57
10311423, 58 5 38 39 45 48 53 56 57
10311424, 58 8 38 39 45 48 53 56
10311425, 58 5 38 39 45 48 53 57
10311427, 58 3 38 39 45 48 53 54
10311428, 58 1 38 39 45 48 53 56
10311461, 58 2 22
10311462, 58 2 23
10311463, 58 2 27
10311464, 58 2 28
10311465, 58 2 26
10311466, 58 2 24
10311467, 58 2 25
10311468, 58 2 29
10311498, 59 20 9 33 41 45 53
10311522, 58 7 24 12 35 40 43 46 47 48 50 54 57
10311577, 58 6 26 19 38 40 44 46 55 57
10311578, 58 6 26 19 38 44 46 55 57
10311584, 58 6 26 38 44 46 55 57
10311586, 58 5 27 12 35 40 43 45 47 48 51 55 57
10311612, 58 7 27 16 34
10311678, 59 3 29 21 38 41 44 46 47 48 53 56 57
10311681, 59 0 29 21 38 41 44 46 47 48 53 56 57
10311695, 59 9 29 21 38 41 44 46 47 48 53 56 57
10311698, 59 2 29 21 38 41 44 46 47 48 53 56 57
10311699, 59 1 29 21 38 41 44 46 47 48 53 56 57
10311705, 58 5 27 14 35 40 43 45 47 48 51 55 57
10311706, 58 5 27 12 35 40 43 45 47 48 51 55 56 57
10311707, 58 5 27 13 35 40 43 45 47 48 51 55 57
10312189, 58 1 25 30
10312190, 58 0 35
10312191, 59 5 33
10312192, 58 3 35
10312193, 58 2 11
10312194, 58 4 41
10312195, 58 1 19 49
10312196, 58 1 15 53
10312197, 59 1 30 47 51
10312198, 59 3 34 46
10312199, 58 1 30 47 51
10312200, 59 6 26 55
10312201, 59 8 17 43 44 45
10312202, 58 3 31 46
10312203, 59 9 22 54
10312204, 58 0 22 57
10312205, 58 1 23 56
10312206, 58 6 26 55
10312207, 58 7 15 49
10312208, 58 7 17 51
10312209, 58 2 11 50
10312210, 58 7 16 50
10312211, 59 2 11 50
10312212, 58 7 44 56
10312213, 59 0 35 51
10312214, 58 8 17 43 44 45
10312215, 59 9 30 49
10312216, 58 1 18 50
10312217, 59 5 33 55
10312218, 59 9 31 50
10312219, 58 0 35 51
10312220, 59 4 42 56
10312221, 58 1 16 52
10312222, 58 7 19 53
10312223, 58 7 18 52
10312224, 58 4 41 56
10312225, 58 1 17 51
10312226, 58 5 32 55
10312227, 59 7 44 56
10312228, 59 9 34 53
10312229, 59 9 32 51
10312230, 58 9 22 54
10312231, 59 9 33 52
10312232, 59 8 23 17 30 41 44 46 47 48 54 57
10312233, 59 6 23 30 41 46 57
10312234, 58 3 17 44 47 54
10312235, 58 1 28 11 38 41 44 45 47 48 52 55 57
10312236, 58 9 26 17 30 44 48 51 55
10312237, 59 1 24 30 44 48 51 55
10312238, 59 1 57
10312239, 59 8 57
10312240, 59 5 57
10312241, 59 7 57
10312242, 59 4 57
10312243, 59 2 57
10312244, 59 3 57
10312245, 59 9 57
10312246, 59 6 57
10312247, 59 0 57
10312248, 59 1 37 57
10312249, 59 4 29
10312250, 59 5 36
10312251, 59 0 28 49 55
10312252, 59 5 24 53 55
10312253, 59 8 29 50 55
10312254, 59 4 25 53 55
10312255, 59 2 27 51 55
10312256, 59 9 28 49 55
10312257, 59 6 22 52 55
10312258, 59 1 29 50 55
10312259, 59 7 23 51 55
10312260, 59 3 26 52 55
10312261, 9 38 52 55
10312262, 1 38 50 55
10312263, 2 38 49 55
10312264, 2 38 50 55
10312265, 8 38 50 55
10312266, 3 38 49 55
10312267, 2 35 49 55
10312268, 2 31 49 55
10312269, 9 38 51 55
10312270, 2 37 51 55
10312271, 7 38 49 55
10312272, 2 32 50 55
10312273, 2 36 50 55
10312274, 2 38 52 55
10312275, 6 38 52 55
10312276, 59 0 15 38 49
10312277, 2 34 52 55
10312278, 2 30 52 55
10312279, 5 38 49 55
10312280, 2 38 51 55
10312281, 4 38 50 55
10312282, 5 38 51 55
10312283, 5 38 51 55
10312284, 2 33 51 55
10312285, 58 8 28 38 57
10312286, 58 7 28 38 57
10312287, 59 5 22 10 30 40 43 45 47 48 49 54 57
10312288, 59 6 23 11 31 41 42 46 47 48 50 56 57
10312289, 58 4 26 14 34 39 43 45 47 48 53 55 57
10312290, 59 8 23 19 34 41 42 46 47 48 52 56 57
10312291, 59 1 29 17 37 39 42 46 47 48 52 56 57
10312292, 58 2 28 16 36 40 43 45 47 48 51 54 57
10312293, 58 7 24 12 32 40 44 45 47 48 51 55 57
10312294, 58 8 25 13 33 39 42 46 47 48 52 54 57
10312295, 58 3 27 15 35 41 44 46 47 48 50 56 57
10312296, 59 0 22 18 38 40 44 45 47 48 53 55 57
10312300, 58 4 26 34 40 49 54
10312301, 58 9 27 18 34 41 42 49 55
10312302, 59 7 23 17 34 40 45 57 56
10312303, 59 8 28 18 35 41 45 49 56
10312304, 59 8 28 19 35 42 45 49 56
10312316, 58 5 26 14 32 40 42 46 47 48 51 55 57
10312317, 58 8 23 13 35 40 43 45 47 48 50 55 57
10312318, 58 7 24 15 37 41 42 46 47 48 50 56 57
10312323, 58 5 28 13 30 39 42 45 47 48 51 55 57
10312329, 59 9 28 20 38 39 43 46 48 56 57
10312330, 59 8 26 20 38 41 44 46 47 54 57
10312331, 0 24 38 41 57
10312332, 6 10 38 41 57
10312333, 1 21 38 41 57
10312334, 59 5 41 57
10312335, 59 4 38 41 57
10312336, 3 23 38 41 57
10312337, 9 34 41 57
10312338, 8 21 36 41 57
10312339, 7 20 38 41 57
10312340, 2 22 38 41
10312342, 58 6 39
10312343, 59 6 55
10312344, 59 7 55
10312345, 59 8 55
10312346, 59 5 55
10312347, 59 3 14
10312348, 59 4 55
10312349, 58 9 55
10312350, 58 3 37
10312351, 58 4 30
10312358, 58 4 28 20 35 41 44 46 47
10312360, 59 4 24 15 33 40
10312375, 58 0 21 30 53
10312376, 58 8 25 13 42 55
10312378, 59 9 14 53
10312381, 58 5 29 19 30 43 45 48 52 54 57
10312382, 59 1 25 38 45 48 51 56 57
10312383, 58 1 46
10312384, 59 9 28 15 38 41 43 46 47
10312385, 59 3 28 38 40 46 55 57
10312386, 58 4 24 20 38 41 42 45 47 48
10312387, 58 5 24 15 33 40 43 45 47
10312388, 58 2 1 1 1 42
10312391, 58 0 17 38 50
10312392, 59 7 26 38 55
10312393, 59 7 26 38 49 55
10312398, 59 1 22 17 30 40 44 46 48 51 55 57
10312399, 58 1 22 17 30 40 44 46 48 51 55 57
10312401, 58 1 22 10 30 39 42 45 48 49 55 57
10312410, 58 9 25 16 38 44 46 51 55 57
10312415, 58 9 38 48 55
10312416, 58 6 28 20 37 40 43 46
10312423, 59 9 25 38 57
10312431, 5 33 41 48
10312432, 59 7 24 20 30 44 55
10312453, 58 5 28 37
10312460, 58 2 51 55 57
10312468, 58 3 3 3 3 42
10312473, 58 7 22 17
10312475, 58 2 2 3 3 42
10312494, 59 16 3 33
10312522, 52 4 39
10312545, 59 8 23 14 37 41 48 50 55
10312580, 59 4 22 10 30
10312586, 59 8 51 55 57
10312598, 59 3 26 38 44
10312599, 59 7 23 38 55
10312635, 59 7 51 55 57
10312639, 59 5 51 55 57
10312641, 59 6 51 55 57
10312645, 59 2 38 40 45 48 53
10312646, 59 1 31 39 42 48 53
10312647, 59 0 30 39 42 45 48 53
10312663, 59 9 38 48 57
10312666, 59 9 20 33 48
10312674, 58 0 27 20 30 48 49
10312675, 58 8 24 34 46 48 55
10312678, 58 0 38 57
10312684, 59 2 22 15 20 33 49 56
10312685, 59 8 17
10312686, 59 7 44
10312687, 59 9 47
10312688, 59 6 26
10312689, 59 7 19
10312690, 59 7 23
10312691, 59 7 24
10312692, 59 7 20
10312693, 59 7 29
10312694, 59 7 27
10312695, 59 7 22
10312696, 59 7 21
10312697, 59 7 28
10312698, 59 7 26
10312699, 59 7 25
10312700, 58 0 10
10312701, 3 30 46 47
10312702, 58 6 44 52
10312703, 58 1 35 51
10312704, 58 5 30 49
10312705, 58 3 32 47
10312706, 58 6 29 51
10312707, 58 5 27 52
10312708, 58 4 44 51 55
10312709, 59 5 44 51 55
10312710, 59 2 44 51 55
10312711, 58 4 26 53
10312712, 58 2 24 55
10312713, 59 2 44 51 55
10312714, 59 0 35 43 51
10312715, 58 4 31 48
10312716, 58 3 25 54
10312717, 58 2 44 51 57
10312718, 58 7 28 50
10312719, 58 3 44 51 55
10312721, 58 2 38 49 55
10312722, 58 2 38 52 55
10312723, 59 2 38 52 55
10312724, 58 2 38 50 55
10312725, 59 2 38 51 55
10312726, 58 9 28 18 37 57
10312727, 58 2 38 55
10312729, 59 7 27 30 46 57
10312730, 58 3 26 15 30 39 42 45 47 48 51 55 57
10312731, 59 7 26 37 55
10312732, 58 7 27 44 47 54
10312734, 58 6 38 55
10312735, 58 4 38 55
10312736, 58 3 38 55
10312737, 58 5 38 55
10312738, 59 3 29 21 38 56
10312739, 58 3 29 10 34 56
10312741, 59 3 29 17 38 56
10312742, 58 3 29 21 38 56
10312743, 59 5 29 21 38 56
10312744, 59 7 29 21 36 54
10312745, 59 3 29 21 37 56
10312746, 58 3 29 21 38 54
10312747, 59 3 22 21 38 56
10312748, 59 3 26 21 38 56
10312749, 59 3 29 21 37 55
10312750, 58 5 17 38
