num, g
9959200, 58 4 19
9963055, 5 28 57
9970734, 1
9970735, 1 38 55
9970737, 9 38 55
9970739, 0 38 55
9970740, 7 38 55
9970741, 3 38 55
9970744, 6 38 55
9970746, 8
9970750, 2
9970751, 7
9970753, 6
9970754, 2 38 55
9970758, 5 38 55
9970760, 9
9970761, 0
9970763, 9 41 57
9970770, 4 38 55
9970771, 5
9970775, 8 38 55
9970778, 3
9970784, 4
9972540, 0 28 36
9972541, 59 3 23
9972542, 9 18 55 52
9972543, 58 5 57 54
9972544, 0 26 38 49
9980530, 1 34 42 48
9980531, 2 57 38 55
9980532, 8 57 38 55
9980533, 7 57 38 55
9980534, 5 57 38 55
9980535, 5 34 42 48
9980536, 9 57 38 55
9980537, 6 57 38 55
9980538, 1 57 38 55
9982215, 59 4 37 44 55 57
9982614, 6 37 55
9984226, 0
9984227, 3 38
9984228, 3 38 57 59
9984229, 3 38 57
9984231, 3 4 58
9984233, 3
9984234, 3 4
9984235, 4 5 38 57
9984488, 59 5 26 38 43
9984530, 59 7 30 43 56
9984536, 6
9984952, 6 35 55
9985103, 2
9985122, 1
9987007, 59 7 23 30
9989698, 4 38
9989734, 5 28 21 38 44
9989748, 58 4 38
9989756, 58 4 57 55 30 10
9989784, 59 4 57 38
9989787, 59 8 57 38
9989789, 59 1 57 38
9989797, 58 4 39
9989798, 58 7 23 33 48
9989799, 59 3 25 10
9989801, 3 34 56 59
9989803, 1 37 57
9989804, 3 37 57
9989805, 6 37 57
9989806, 5 37 57
9989807, 2 37 57
9989808, 4 37 57
9989809, 3 34 55 59
9989825, 59 4 10 37
9989826, 59 4 10 30
9989827, 59 4 10 34
9989828, 59 4 10 37 57 49
9989829, 59 4 21 38
9989830, 59 4 10 37 57 39
9989831, 59 4 57 33
9989858, 3 34 55 58
9989910, 0 37
9989914, 3 19 30 55
9989915, 3 30 59
9989933, 9 38 23 47 51
9989935, 58 9 26 33 50 54 57
9989936, 4 23 14 38 57
9989961, 5 38 48 51 55 57
9989973, 58 9 28 53
9989988, 2 28 21 35 41 46 48 54 57
9989989, 5 17 37 50 55
9990006, 59 3 22 11 38 41 46 51 54
9990033, 58 4 38 50
9990034, 58 2 34 52
9990035, 58 4 27 34 50
9990036, 0 37 57
9990037, 8 37 57
9990038, 58 4 25 34 50
9990039, 58 4 26 34 52
9990040, 9 37 57
9990041, 7 37 57
9990078, 59 1 22 21 38 56
9990334, 4 23 11 37 0 0
9990389, 59 7 10 37
9990390, 59 2 34 52
9990391, 59 2 38 50
9990398, 59 4 10 30 49
9990399, 59 4 57 37 49
9990405, 59 4 57 34 49
9990426, 59 4 57 50
9990435, 59 4 57 33 49
9990436, 59 4 10 34 49
9990451, 59 4 10 37 49
9990457, 59 4 10 33 49
9990568, 5 15 38 55
9990569, 5 15 43 57
9990570, 5 15 37 54
9990571, 5 15 39 53
9990572, 5 18 38 55
9990573, 5 15 47 56
9990741, 4 28 30 55 57
9990796, 9 17 32 50 55
9990798, 7 15 37 45 56
9990802, 1 29 15 39 42 48 57
9990804, 58 0 10 34 50
9990805, 58 0 57 33 52
9990806, 58 0 57 30 39 50
9990807, 58 0 57 30 50
9990808, 58 0 57 34 50
9990810, 58 0 57 30 52
9991118, 0 3 22 10 31 0
9991119, 2 3 7 6 5 4
9991165, 59 4 31
9991209, 0 0 23 11 35 57
9991351, 58 4 28 21
9991396, 59 11 25 34 41 51
9991402, 59 7 57 38
9991445, 0 3 22 10 31
9991446, 59 3 22 10 31 41
9991589, 58 4 15 45
9991596, 3 0 45
9991930, 59 0 22 44 51 54
9992115, 59 4 15 31 54 55
9992608, 58 3 50
9992609, 58 0 28 37 44 50
9992610, 59 6 22 50 57
9992611, 59 9 27 37 52 55
9992612, 58 3 26 19 36 42 56
9992613, 58 4 13 3 49 54
9992614, 59 8 18 38 49 55
9992615, 59 7 55 50 57
9992616, 59 5 27 17 35 41 51
9992617, 58 2 29 38 44 47 48
9992618, 58 1 22 18 43 55
9992823, 2 23 20
9992869, 8 27 31
9992887, 1 26 35
9993211, 3 18 38
9993268, 0 37 57
9993269, 3 5 57 59
9993270, 5 22 38
9993271, 5 22 38 59
9993272, 5 38 57
9993273, 0 22 38 58
9993274, 3 22 38 59
9993323, 6 15 55
9993367, 1 0 17 42 13
9993402, 8 12 30
9993511, 3 30 55
9993579, 5 10 52
9993586, 4 57
9993597, 7
9993600, 5
9993652, 8
9993653, 9
9993654, 4
9993698, 3
9993817, 5 37 57
9993995, 6 14 32 50 54
9994000, 59 7 38 54
9994001, 59 2 41 43 48
9994028, 6 14 32 50 54
9996023, 59 1 15 55
9996301, 58 3 22 38
9997704, 6 28 37 39 48 50 54
9998164, 4 38 57
10000891, 4 11 39
10004137, 0 22 15 31 53
10004138, 3 22 15 31 53
10004139, 5 22 15 31 53
10004140, 1 22 15 31 53
10004141, 2 22 15 31 53
10004142, 9 22 15 31 53
10004143, 6 22 15 31 53
10004144, 8 22 15 31 53
10004145, 7 22 15 31 53
10004146, 4 22 15 31 53
10006843, 0 25 10 30
10006844, 6 25 10 30
10006845, 8 25 10 30
10006846, 2 25 10 30
10006847, 3 25 10 30
10006848, 1 25 10 30
10006849, 4 25 10 30
10006850, 7 25 10 30
10006851, 9 25 10 30
10006852, 5 25 10 30
10010995, 58 4 30 41 50 55 57
10011405, 3 11 38 39 47 56 57
10011509, 59 3 11 38
10011591, 59 8 57
10012606, 58 0 28 38 48 50 55
10012607, 58 0 28 37 48 50 55
10012642, 58 4 28 37 48 50 55
10012738, 2 15 50
10012744, 58 9 23
10012745, 58 4 50 57
10014794, 3 17 38 41 48 51 54
10014801, 59 9 31 57
10015493, 5 10 36 49 54
10015495, 3 54 55
10015496, 3 20 34 47
10015497, 1 23 52 56
10015498, 7 57 38
10015499, 4 57 38
10016213, 7 57 38
10016301, 2 23
10016456, 58 2 48 51 56
10016458, 9 30 57
10016459, 9 35 57
10016546, 7 19 30
10016865, 9 11 38 50
10016898, 58 0 16 38 50
10018041, 58 5 57 54
10018042, 59 4 21 39
10018062, 4 54
10018579, 59 8 52 55 57
10018580, 0 16 34 50
10018582, 4 16 30 50
10019354, 7 39 55
10019355, 9 36 58
10019711, 59 7 55 57
10019721, 0 32 53
10019722, 8 32 53
10019723, 0 23 49
10019724, 0 26 56
10019726, 5 32 53
10019727, 1 32 53
10019728, 4 32 53
10019729, 6 32 53
10019730, 0 25 56
10019732, 0 24 52
10019733, 3 32 53
10019734, 0 28 56
10019735, 0 23 50
10019736, 9 32 53
10019737, 0 27 56
10019739, 7 32 53
10019740, 2 32 53
10019741, 0 23 51
10019742, 0 29 56
10020189, 4 11 50
10020386, 3 33 48 56 57
10020563, 58 0 25 33 54 55
10021122, 1 20 27 36 47 56
10021124, 4 22 36 56
