name, category, base64
blue, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEVkhZa3PARZAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
bitcoin-orange, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEX3kh03gNzOAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
brown, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEWUVU4LyOhwAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
purple, background, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgAQMAAABJtOi3AAAAA1BMVEWOb7aMtmqBAAAAC0lEQVR4AWMY5AAAAKAAAVQqnscAAAAASUVORK5CYII=
antenna, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAKUlEQVRYCe3BsQ0AIADDsOT/o8sJLEgssSHJhTpg4oDxmzKSJEmS5KEDUlIFA6L+DvwAAAAASUVORK5CYII=
none, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAGklEQVRYR+3BAQEAAACCIP+vbkhAAQAAAO8GECAAAcFgLJ8AAAAASUVORK5CYII=
rainbow, accessories, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAu0lEQVRYw+2OsQ5EQBCG12ucjhegpaFdPa/GG3BoeDMamv1vZ5bG1XvJJfMlX2ZGJPspJQiCIAiCIAiWI0tx5imOLMHvH88T4K2sAU8OYROcNojuk/fUTxzGAGYvgb2w02pDzKisLoh2kHb3EmC2EtVUQ88NT3OHbIWLonnpJUBPDcLWsK8O0BRzBem5RkXyXfsJoEeHaMEQr+yrcyFk2IJvF2f8BAzxgufdsytL923/+LeP1q9vgvB3fABOiLQ6WjY8vQAAAABJRU5ErkJggg==
happy, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAhElEQVRYw+2SwQ0EMQgDnUbwj/SZ7QQK9T2Coi3gctJJjORHXh4gQNM0TfN3LNdYLjwuLBfWFNbUOG/XeKau9VtSjB0LkyVPmCYL21LXBMLEpABUsZ0AENOEmxtglTJYhTxCzJJbflNgr5k18TuMX5ygpmdJnDNE/YXgXYGmaZqmab7NB7N/ZfzOF/mEAAAAAElFTkSuQmCC
neutral, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAfUlEQVR42u2RwQ1AIQhDYRG86Z7+TXRQv1AdgYNJX9IgeGgVIYQQ8hza25Kvrai9RoVwvveShc2ybGxNC5WrUY5sB0sNACNVDbNyevOZYJb8AwbjMJQlKm6MQP47EaDmBbgvjuprgCl0ZpoZwE1ceO01R3/CYQWEEEIIeYUfRt5n1nreT2wAAAAASUVORK5CYII=
surprised, face, iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAAgUlEQVRYw+2SsRXDQAhDpUWgy+1pb8INqhQkdtKHIu/pN0AlIQCMMcb8HccSjoe+6xLPJZzrmsf0c6dyh2KHYqdixz1X95w00KItDODqe6aispOZM9CbZ8Vr+9vAOw3OGsgP4RRBgRSAPkXF7A9ckVdXAiLR56hOZzQBY4wxxvyaJx8sZgHvTBE9AAAAAElFTkSuQmCC
